t,range,v_r_model,v_r_fd,diff
1762892819.3643186,1.3523380923431496,-0.009692388887567484,-0.00968689522655127,-5.493661016214499e-06
1762892819.370391,1.3522775456895326,-0.009683489259274303,-0.00968689522655127,3.4059672769665844e-06
1762892819.3740354,1.352243967211791,-0.0030838963958709515,-0.0030840903096212087,1.9391375025721094e-07
1762892819.3801785,1.3522473599720952,-0.005204609547662076,-0.005203902163978139,-7.073836839370171e-07
1762892819.384596,1.3521890100970102,-0.001603496777360147,-0.0016039289596103564,4.321822502093616e-07
1762892819.3898463,1.352231853389999,0.005466972693425135,0.0054667220875477,2.506058774344108e-07
1762892819.394599,1.3522436929061683,0.002051935100321301,0.002051836919937916,9.818038338533716e-08
1762892819.3990333,1.352250703581124,0.017717436717692103,0.01772047878058708,-3.042062894975661e-06
1762892819.4048362,1.3524251012918935,0.016804489775064893,0.016801439834368995,3.049940695897674e-06
1762892819.4092247,1.3524219344568926,-0.000321537805473871,-0.000321226448250862,-3.1135722300894937e-07
1762892819.4138212,1.3524222150585807,0.0015210238059728304,0.0015218333564094883,-8.095504366578948e-07
1762892819.4195802,1.352437693760463,0.0004087543156716793,0.0004078397456344502,9.145700372290878e-07
1762892819.4239488,1.352426345473714,-0.0015341475056306697,-0.001534378190601424,2.3068497075431384e-07
1762892819.4299445,1.3524217910137084,-0.0020443732251623015,-0.002042845823578992,-1.52740158330944e-06
1762892819.4349215,1.352403929861174,-0.001714953409113601,-0.001716774099720837,1.820690607235928e-06
1762892819.4391153,1.3524060468721903,0.00012061666651786503,0.0001205981663278115,1.8500190053532444e-08
1762892819.44514,1.3524051621792919,-0.0006838833510777683,-0.0006830727452517483,-8.106058260200612e-07
1762892819.450332,1.3523983850907904,0.0002496019534540395,0.0002494429655985875,1.5898785545194732e-07
1762892819.454822,1.3524075773306097,0.0009756609660411799,0.0009748802030321931,7.807630089868602e-07
1762892819.460084,1.3524078921567886,0.0005152092698245516,0.0005152098973452658,-6.275207142109052e-10
1762892819.4646635,1.352412647738988,-0.0010035425685215014,-0.0010034736344755077,-6.89340459937484e-08
